,id,host_id,neighbourhood_group,latitude,longitude,price,minimum_nights,number_of_reviews,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
15483,837846753852966156,391664411,,19.4344524,-99.1903919,1355.0,2,43,2.06,1,329,24,
15484,837856515442262455,500950109,,19.422803265210742,-99.1510357665959,385.0,3,4,0.19,3,345,0,
15485,837859722204271945,121281726,,19.391405061530513,-99.1649674282714,393.0,1,22,1.0,1,364,0,
15487,837998154690450782,503469617,,19.415997246545032,-99.15917307586372,1700.0,2,12,0.73,1,345,9,
15488,838014355365580242,14716996,,19.33399,-99.14101,310.0,3,16,0.73,9,365,9,
15489,838021338431153354,14716996,,19.33255,-99.14203,325.0,3,23,1.06,9,359,13,
15490,838025702644244200,14716996,,19.333622144971127,-99.1404522284729,315.0,3,19,0.88,9,365,11,
15491,838028948452340711,14716996,,19.3321428389465,-99.14184900638364,425.0,3,17,0.77,9,340,10,
15492,838034055810816276,14716996,,19.332126229213497,-99.14192806153746,410.0,3,25,1.19,9,347,19,
15495,838317161114938687,14716996,,19.33199,-99.14106,435.0,3,24,1.21,9,358,15,
15496,838341837451190819,24655816,,19.440641241424636,-99.19306379814758,,2,59,2.73,3,0,29,
15497,838348907677413410,316264544,,19.4323024,-99.1781032,1147.0,1,3,0.2,21,364,2,
15498,838366951436846547,503543816,,19.43786325876808,-99.15037208465576,3505.0,2,0,,1,364,0,
15501,838446639730772079,14716996,,19.333497260310843,-99.14222395369936,300.0,3,16,0.73,9,300,7,
15502,838535764537071420,24055450,,19.449381529135,-99.17128392380138,2047.0,2,10,0.46,3,361,5,
15503,838542244620284787,43302879,,19.4128475,-99.1789132,,2,44,2.1,6,2,28,
15504,838577296550133178,71554821,,19.41408,-99.15548,231.0,1,0,,5,364,0,
15505,838598377218554894,454330571,,19.44452,-99.20527,1112.0,2,63,2.96,25,333,36,
15506,838607556672262647,159397442,,19.42006179367378,-99.14326954477669,,2,3,0.14,1,0,0,
15510,832618120952245544,12451150,,19.429663282266,-99.19668771298312,2085.0,2,59,2.81,6,47,34,
15513,832663736508456246,480379843,,19.412080575539953,-99.1892727728936,250.0,2,0,,1,88,0,
15515,832727906834901559,434403021,,19.372811866394855,-99.14628848433496,,2,19,0.85,1,0,0,
15519,832920255182373384,132535773,,19.431068276120655,-99.16747625917196,,3,0,,5,361,0,
15522,833256351735768979,84017689,,19.40736351260138,-99.17606115778932,1059.0,2,45,2.01,7,166,21,
15523,833284882445016094,496595705,,19.4294662,-99.1800204,3121.0,1,39,1.75,9,363,27,
15525,833367976750751650,423833593,,19.38426542065987,-99.16640083372955,1062.0,1,7,0.35,6,58,2,
15526,833377478705224801,496595705,,19.4294662,-99.1800204,3121.0,1,13,0.58,9,352,6,
15527,833378847997242166,418741054,,19.4276681,-99.1776009,1300.0,2,11,0.49,25,56,1,
15530,833420755737028406,21650773,,19.4082073,-99.1859535,,3,0,,1,0,0,
15531,833464020056989339,502510558,,19.4163925,-99.1298991,850.0,3,32,1.44,1,209,6,
15533,833701549494168608,117513242,,19.4122194935,-99.1709387,2700.0,2,15,0.82,2,19,9,
15535,833739373202660324,58873114,,19.40370825235411,-99.16718661427436,3235.0,1,64,2.85,3,313,31,
15536,834016551195400910,361119756,,19.43123079857757,-99.16613716632128,1867.0,2,65,2.93,1,209,37,
15537,834033503403076669,502617664,,19.3760805,-99.185914,,1,0,,1,0,0,
15540,834115370981904060,423833593,,19.38546,-99.16586,1000.0,1,24,1.09,6,182,14,
15541,834121556597970366,423833593,,19.38342350940862,-99.16681819370848,937.0,1,34,1.57,6,154,20,
15543,834131751845346206,423833593,,19.38513651807449,-99.1654170877446,1062.0,1,10,0.49,6,185,2,
15544,834143531241703935,134621503,,19.379693113722578,-99.13109586464242,627.0,1,39,1.75,1,358,8,
15545,834190202897832614,104305389,,19.382783324694152,-99.15674038231371,1299.0,1,14,0.73,1,148,5,
15546,834199682269391254,143402387,,19.49236,-99.19631,1395.0,2,13,0.6,5,352,9,
15548,834726191053349321,29920297,,19.4395976,-99.1825289,2200.0,2,26,1.29,1,355,18,
15550,835453673572117850,132528966,,19.43685,-99.20927,2214.0,1,1,0.05,1,361,0,
15551,835490419515426513,502912434,,19.365035539100575,-99.19330808023162,200.0,1,0,,1,76,0,
15552,835608698816279661,9432359,,19.4183857,-99.1478854,486.0,2,85,4.1,1,175,53,
15553,835646622855511197,499836247,,19.414209,-99.1622853,2810.0,1,23,1.06,14,343,3,
15554,839364533850546811,53784552,,19.38005,-99.17211,850.0,3,13,0.69,5,365,4,
15556,839897237962869475,181477951,,19.423137719123467,-99.1722284827435,1199.0,1,62,3.29,1,350,36,
15558,839969368558075269,491071501,,19.366834842210363,-99.18845834844308,1020.0,3,21,0.97,1,350,18,
15559,840119712179082841,481702883,,19.42017,-99.17374,1207.0,2,48,2.19,5,49,24,
15562,840551592247831543,488859697,,19.4175867,-99.1782465,2406.0,2,55,2.52,2,118,36,
15563,840608827291286572,138094276,,19.458308347783937,-99.12366807460783,900.0,1,10,0.46,3,356,5,
15565,840712692397132491,504042079,,19.44766,-99.15517,1226.0,3,8,0.38,1,282,3,
15568,840864390418711391,386304122,,19.47814918967823,-99.19063184605407,,1,5,0.26,1,0,0,
15569,840951456484039949,504089058,,19.366691244112243,-99.15190505479713,445.0,2,1,0.07,1,173,0,
15570,840960366293571704,518877126,,19.416132703778217,-99.15715106513925,592.0,1,41,2.0,1,176,23,
15574,841386181041981578,501901613,,19.38795,-99.18448,526.0,3,61,2.82,2,344,30,
15576,841466421657641892,503108078,,19.4144032,-99.1651226,3024.0,1,39,1.8,5,363,5,
15577,841477499830862793,504216149,,19.42974099303099,-99.13259058465574,400.0,1,4,0.18,2,95,0,
15578,841504301029968671,104400812,,19.443367128384672,-99.20219671111452,1925.0,1,21,0.96,19,265,18,
15582,841672470028898650,451159548,,19.44601,-99.20421,3554.0,1,46,2.1,22,330,33,
15583,841885553623722657,7274083,,19.345430505082213,-99.14771942415108,893.0,3,4,0.19,3,56,0,
15587,841992867401026412,19751640,,19.42052,-99.16277,1829.0,2,47,2.17,1,252,27,
15588,842008410771438302,166864351,,19.42186686336037,-99.16955795396728,1720.0,3,8,0.37,1,302,3,
15589,842013161435394238,34536707,,19.401771215308468,-99.17172701355727,1011.0,2,45,2.05,2,305,20,
15590,842039379898314396,503108078,,19.4144032,-99.1651226,2716.0,1,29,1.47,5,364,8,
15591,842065015893437051,504339122,,19.4345615,-99.1484204,1200.0,2,0,,1,88,0,
15593,842158456106526947,47225133,,19.440716951869348,-99.15853840241748,980.0,2,67,3.06,2,321,31,
15595,842350203703517625,28715491,,19.42517821424037,-99.16127036973892,1300.0,1,49,2.33,1,173,35,
15596,842386820616716735,335508696,,19.421231260305216,-99.17351561679772,2584.0,1,1,0.05,3,0,0,
15598,842645680413246012,265320501,,19.38139174005277,-99.16645073050036,1051.0,1,68,3.14,2,174,45,
15599,838631481519577968,500950109,,19.4208,-99.15099,345.0,1,12,0.58,3,335,4,
15604,838987541567172019,466340138,,19.418515870239297,-99.15652335783254,1413.0,3,58,2.7,1,36,27,
15606,839086905707559188,17528718,,19.42866890972635,-99.1652772735714,1150.0,2,22,1.02,6,355,13,
15607,839112144738222842,490882641,,19.36485812770112,-99.15486229042116,650.0,1,9,0.52,1,89,5,
15608,839125649020261916,10056788,,19.409203195634127,-99.18092081817969,,1,15,0.68,3,0,7,
15609,839125704676160116,17528718,,19.4275,-99.15691,1500.0,2,24,1.11,6,359,3,
15610,839201212897394187,497844898,,19.3629446,-99.1665112,1500.0,2,29,1.32,2,83,12,
15611,839211949463744193,503108078,,19.4144032,-99.1651226,2946.0,1,50,2.37,5,358,16,
15616,839311916099366521,1666272,,19.413730832577443,-99.16774435570689,,2,9,0.41,1,0,0,
15618,845708472036431958,505078337,,19.35362439458952,-99.14565286045234,,2,79,3.68,1,318,35,
15621,845861561214878060,49836026,,19.3512098,-99.1490131,1314.0,3,16,0.76,5,136,9,
15622,845889407554503903,274919917,,19.3649672,-99.1428404,978.0,2,17,0.79,1,360,7,
15624,845956103761475146,499836247,,19.414209,-99.1622853,2972.0,1,16,0.74,14,170,4,
15628,846358782806950855,429129853,,19.45762210208403,-99.17470259391288,270.0,3,11,0.54,7,153,5,
15629,846364871281505020,429129853,,19.45738,-99.17672,270.0,3,11,0.53,7,179,5,
15633,846431530414487355,142472698,,19.441719691987625,-99.1520487832724,1000.0,1,0,,1,364,0,
15634,846454096839708297,82468862,,19.4203706,-99.1739533,,1,0,,1,0,0,
15636,846474738389719080,425307816,,19.424300482399836,-99.15468564320204,1104.0,3,5,0.23,2,364,0,
15637,846564484601052355,335508696,,19.419156640151694,-99.17533389465152,,1,3,0.14,3,0,0,
15638,846571819664813116,54778544,,19.44556225591456,-99.20278519392014,1472.0,3,21,0.97,1,345,12,
15639,846608589165475839,385048127,,19.454724333230043,-99.15323554742383,399.0,1,29,1.34,1,365,13,
15640,846623726435738668,6164671,,19.392206522969623,-99.17638851506388,1071.0,2,18,0.84,1,156,4,
15643,846656843979138778,505296718,,19.45244,-99.19135,1517.0,1,3,0.15,1,90,0,
15644,847117304441577756,9975483,,19.4310153,-99.1639727,664.0,1,66,3.29,7,326,44,
15645,847119179480714156,477263486,,19.428232112498236,-99.1278129934972,850.0,1,4,0.18,4,350,0,
15647,847127191470870905,469527331,,19.41669,-99.16677,385.0,1,83,4.36,18,169,48,
15650,847197525877442235,10038382,,19.37177635812488,-99.15456773582048,345.0,2,89,4.11,1,359,53,
15651,847243625700121885,154055899,,19.43458,-99.14444,1429.0,3,100,4.6,1,143,47,
15653,847356332311226546,437270212,,19.4491792,-99.1793523,664.0,1,36,1.67,1,10,26,
15654,847363800610104241,114564195,,19.42268,-99.16416,2764.0,1,31,1.46,23,353,17,
15657,847699024575065355,505511453,,19.3809507,-99.1366219,600.0,2,32,1.67,1,351,24,
15658,847756287980393596,364978285,,19.41914,-99.12293,791.0,1,41,2.12,1,352,25,
15660,847874682556731027,492417531,,19.41685288198426,-99.16081182866604,,2,67,3.12,11,346,41,
15661,847883635215456462,374779142,,19.43019,-99.16901,630.0,1,2,0.15,1,180,0,
15663,847918603081632097,427735942,,19.3654564,-99.1805664,,1,28,1.32,1,361,15,
15664,847941130933297404,171037813,,19.43551744678601,-99.13540400276776,3475.0,1,71,3.57,12,323,41,
15671,847943683426162504,253044186,,19.377867781586342,-99.18720619762269,,1,11,0.58,6,320,2,
15674,848003650788756424,492417531,,19.4171281,-99.1607982,1096.0,2,53,2.45,11,350,30,
15676,848019546118464732,492417531,,19.4171281,-99.1607982,1270.0,2,41,1.91,11,345,25,
15682,848482690184846236,492417531,,19.4171281,-99.1607982,974.0,2,57,2.63,11,338,35,
15683,848492615024216810,492417531,,19.4171281,-99.1607982,995.0,2,50,2.38,11,340,36,
15684,848538260498735306,273414857,,19.3923116,-99.1400159,500.0,1,34,1.66,1,179,12,
15685,848543402503471733,503246019,,19.39996588026024,-99.1458559781313,,1,4,0.24,2,358,1,
15686,848550403077794168,101892162,,19.3345001,-99.1291319,,1,0,,1,358,0,
15687,848559075314462136,492417531,,19.4171281,-99.1607982,1030.0,2,58,2.67,11,329,33,
15689,848567432662232316,492417531,,19.4171281,-99.1607982,1089.0,2,38,1.77,11,356,22,
15691,848598680812203617,492417531,,19.4171281,-99.1607982,872.0,2,38,1.78,11,346,18,
15695,848720036512097568,441652858,,19.370061,-99.123536,900.0,3,3,0.18,1,329,0,
15696,848847091209327940,116698406,,19.41586,-99.16973,2700.0,3,52,2.62,2,41,45,
15699,848924497208881246,160473638,,19.4403516910611,-99.15225899311524,545.0,2,42,2.01,3,360,25,
15701,842728492027780774,118845987,,19.44035721328302,-99.15973393119562,999.0,2,65,3.01,1,247,41,
15702,842740154737634997,104400812,,19.4414677,-99.202496,,1,20,0.92,19,0,5,
15703,842761511606367170,503108078,,19.4144032,-99.1651226,3137.0,1,20,0.92,5,342,2,
15704,842838121384136838,434298578,,19.4128147,-99.1791761,2504.0,3,36,1.71,2,305,19,
15705,842854896036808997,504509003,,19.4301033,-99.1628915,,1,1,0.05,2,0,0,
15706,842952248381987768,164898812,,19.42105,-99.171,1203.0,2,13,0.64,16,235,7,
15708,842978691216611060,154999120,,19.44406,-99.15826,750.0,2,26,1.19,3,365,13,
15709,843053466410075520,181711802,,19.358573644371596,-99.17562279850245,365.0,2,16,0.74,8,365,6,
15711,843426264633976802,427352441,,19.413200300307818,-99.16417445987464,3143.0,3,1,0.05,1,179,0,
15712,843472123103852254,504619017,,19.3854715,-99.1779105,843.0,3,4,0.28,2,89,2,
15716,843649287332151686,445287430,,19.416298132341463,-99.17719340845947,800.0,1,24,1.19,8,300,18,
15717,843657675044005114,164898812,,19.44182,-99.185,1153.0,3,9,0.44,16,186,8,
15718,843814968808236646,225823200,,19.45289,-99.12421,250.0,1,0,,1,364,0,
15719,844098135030471356,492066501,,19.3744962,-99.1646647,2500.0,1,37,1.75,8,265,25,
15720,844111854578363254,91735609,,19.44855702453451,-99.19565810665092,600.0,1,19,0.92,14,271,5,
15721,844118313505318758,91735609,,19.44909,-99.19486,340.0,1,46,2.14,14,342,24,
15722,844155100011776411,459073944,,19.4338639,-99.1482692,860.0,2,38,1.81,10,329,0,
15723,844197423466049534,464148378,,19.42962,-99.16996,1600.0,2,22,1.05,3,41,17,
15724,844201654160816517,504509003,,19.42999758976036,-99.162907706767,,1,1,0.05,2,0,0,
15725,844245029364738112,144866939,,19.4913905,-99.1254464,550.0,3,4,0.19,2,360,1,
15726,844315294142367412,504619017,,19.3854715,-99.1779105,800.0,2,8,0.49,2,364,5,
15727,844388355622975205,191223455,,19.439722988526544,-99.14076416383928,582.0,1,10,0.54,4,359,7,
15728,844404265952857955,356554689,,19.3740532,-99.1770785,614.0,2,10,0.46,1,34,6,
15732,844673234467889720,420163296,,19.441206527220775,-99.183205474877,1845.0,3,3,0.21,4,357,1,
15734,844876543283767199,9664207,,19.4288738,-99.1689899,1878.0,2,56,2.6,16,312,27,
15735,844936638569099531,477263486,,19.42803,-99.12815,850.0,1,5,0.25,4,350,2,
15739,845173438298510015,360026132,,19.4076641224416,-99.16089636085204,,1,2,0.09,1,0,0,
15740,845236864177508684,246915056,,19.3491965180318,-99.16211431845171,670.0,2,66,3.04,1,353,53,
15742,845594263605453877,171037813,,19.43735,-99.13369,2912.0,1,54,2.74,12,328,29,
15743,849240785393611980,492417531,,19.4171281,-99.1607982,949.0,2,37,1.82,11,346,33,
15744,849310790991650241,408076348,,19.4199746,-99.156369,,1,0,,3,333,0,
15745,849315893191760444,408076348,,19.4199746,-99.156369,3487.0,1,0,,3,312,0,
15746,849317992260198463,104400812,,19.44252,-99.20111,,1,14,0.65,19,0,1,
15748,849341774540483168,56849862,,19.41036,-99.16362,1269.0,2,72,3.36,3,357,27,
15749,849427386288645648,171037813,,19.437763372211062,-99.1349601163306,3259.0,1,71,3.42,12,340,42,
15756,850024368015910211,480222039,,19.4203412,-99.1563072,1443.0,2,50,2.72,7,129,42,
15761,850286881487986805,506028430,,19.441566536329756,-99.19614189513182,2543.0,2,31,1.52,1,78,21,
15762,850582480042885340,91735609,,19.44909,-99.19486,370.0,1,15,0.73,14,241,8,
15763,850691624551884487,198853888,,19.38163,-99.18308,491.0,1,49,2.47,1,269,31,
15764,850747486828610067,368797236,,19.3950127,-99.1758673,1314.0,1,30,1.42,2,85,15,
15765,850779013625266877,171037813,,19.43755,-99.13528,3475.0,1,69,3.44,12,337,35,
15768,851258798941081657,173060102,,19.423553825236247,-99.17110692712448,2700.0,2,13,0.64,2,229,7,
15770,851372853395052324,456315145,,19.4321332,-99.1909289,1624.0,2,15,0.74,1,360,8,
15772,851383540783961885,54559038,,19.4362107,-99.1604696,1290.0,3,29,1.41,3,350,23,
15774,851456285502146515,171037813,,19.43761569544042,-99.135480530368,3475.0,1,56,2.88,12,308,27,
15775,851457611260443325,63889376,,19.399151048081254,-99.14944007335828,,3,22,1.05,1,71,12,
15776,851465975071636131,224076931,,19.4577,-99.15747,700.0,1,0,,1,365,0,
15777,851487550912068446,486806715,,19.45894707831912,-99.12422906667602,287.0,1,19,0.9,1,344,7,
15780,851571290681560131,52410021,,19.46286,-99.16648,960.0,1,85,3.97,2,170,40,
15781,851572661449134265,171037813,,19.43563,-99.13573,3290.0,1,87,4.39,12,314,47,
15783,851587571771625446,7227655,,19.43490174719643,-99.20418159724086,1438.0,1,51,2.39,1,259,27,
15784,851653772457497568,483375606,,19.39515674590303,-99.20819822698832,615.0,1,20,1.01,2,364,9,
15785,851737416791774281,184507646,,19.4452718,-99.169271,800.0,1,8,0.45,1,87,1,
15786,851756267719229419,78927516,,19.4107,-99.17549,650.0,2,10,2.34,1,321,10,
15787,852154144063224923,66449563,,19.3463711,-99.1470722,,2,1,0.08,6,0,0,
15790,852193953766031272,498104439,,19.4067443,-99.1561012,1839.0,1,20,0.97,26,320,10,
15792,849164163123698024,505809225,,19.4390278,-99.1711946,700.0,1,63,2.93,2,306,33,
15795,849232693882513432,492417531,,19.4171281,-99.1607982,1154.0,2,57,2.7,11,349,35,
15796,853648712710038402,470800231,,19.41462166714763,-99.1650739417512,645.0,1,3,0.16,17,364,1,
15797,853673871011371405,470800231,,19.414491524415048,-99.1649794436444,542.0,1,11,0.53,17,364,5,
15801,854076153572221806,226966943,,19.39670003388254,-99.17358800768852,650.0,1,70,3.47,3,314,47,
15803,854247693069190865,7799414,,19.4037919,-99.1649783,2760.0,1,89,4.18,11,106,37,
15805,854280440113843752,534742524,,19.40861596229564,-99.16450608948334,555.0,1,11,0.52,1,332,4,
15809,854322838854948181,127087854,,19.4337831052347,-99.14725345920913,1085.0,1,42,2.06,1,328,23,
15811,854345774633938620,473349253,,19.346819476580468,-99.2144845598461,361.0,1,14,0.8,1,329,11,
15814,854437292524509377,113463511,,19.4305956,-99.1781014,690.0,3,23,1.09,10,344,10,
15817,854498279536118156,506921584,,19.42847715854755,-99.15345803763329,1454.0,1,80,3.8,1,173,39,
15818,854593705967590248,92259191,,19.3818018,-99.185078,1453.0,1,34,1.74,1,77,28,
15819,854606412754930446,417817071,,19.385999216927495,-99.16713519265532,,2,1,0.05,1,0,0,
15820,854607759064773244,171037813,,19.43579,-99.13551,2863.0,1,58,2.99,12,326,31,
15821,854930814779554831,45145938,,19.41003692375684,-99.16563919158976,1850.0,2,30,1.43,1,360,12,
15825,855226991521594425,131670142,,19.4316823,-99.1699576,699.0,1,17,0.8,2,358,2,
15827,855255424443241473,24833596,,19.415482279881378,-99.174241028588,3006.0,3,68,3.23,3,261,44,
15828,855262411925217711,14563293,,19.432723489740894,-99.16446033241884,850.0,2,10,0.49,4,89,7,
15831,855496014796643454,2073913,,19.39672,-99.18566,700.0,2,4,0.27,1,343,2,
15835,855924913730020132,175466630,,19.38481,-99.21467,,1,0,,1,365,0,
15836,855937689924194503,71554821,,19.41645,-99.15253,564.0,1,0,,5,314,0,
15837,855987221544182049,71554821,,19.41367209254657,-99.1555981599012,335.0,1,0,,5,364,0,
15838,856020290662850031,484538652,,19.4142113,-99.177642,1632.0,2,69,3.26,5,324,48,
15841,856064600845974112,724730,,19.4110178,-99.1722879,1611.0,2,39,2.35,2,359,28,
15845,856173561837114843,420886866,,19.44660650175297,-99.15751621127129,740.0,2,26,1.23,3,326,8,
15847,856456602117523747,499836247,,19.414209,-99.1622853,2922.0,1,15,0.71,14,325,9,
15848,856475962382216966,507320639,,19.4306391,-99.138572,,1,3,0.23,1,259,2,
15849,856477356537178102,507323143,,19.43688,-99.13267,,1,0,,1,365,0,
15850,856507307979686783,485914626,,19.374931083907168,-99.16024363489733,1700.0,2,53,2.53,12,340,32,
15851,856513330497669167,445250346,,19.4196508,-99.16457,3233.0,2,22,1.29,4,360,16,
15853,856618936862058691,131087591,,19.428485074421857,-99.17360678315164,,2,17,0.89,7,250,13,
15854,856657085496276518,114890106,,19.4278841,-99.1569341,580.0,2,54,2.96,3,327,52,
15855,856668430043912004,114890106,,19.427750575488805,-99.1568798571825,550.0,2,10,0.92,3,349,10,
15857,856690258863650651,102285417,,19.414177294003625,-99.16433277539367,1346.0,3,62,2.95,1,203,37,
15858,856724312739391055,473097917,,19.35200763472992,-99.2010851752726,2329.0,1,0,,5,343,0,
15859,856737594326198486,151405543,,19.39519,-99.16148,450.0,1,5,0.65,3,365,5,
15860,856761625725683711,159457709,,19.416494786771707,-99.15193322139496,,2,5,0.24,1,0,0,
15861,856806242365946346,505276245,,19.399228812391463,-99.16523374807088,431.0,1,60,2.82,1,357,20,
