,id,host_id,neighbourhood_group,latitude,longitude,price,minimum_nights,number_of_reviews,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
4,544105,2674950,,19.44289207458496,-99.20138549804688,1007.0,2,67,0.74,1,173,9,
6,571166,196253,,19.41346,-99.1775,3328.0,1,1,0.01,8,165,0,
7,583039,2872228,,19.43374,-99.14616,1290.0,2,118,0.8,15,251,24,
13,642725,3213044,,19.40809,-99.18109,,2,0,,1,0,0,
19,704779,2872228,,19.43103,-99.14661,865.0,2,27,0.2,15,116,8,
21,737328,3850198,,19.43059,-99.17073,,2,25,0.17,11,365,1,
22,741557,3850198,,19.43059,-99.17073,1415.0,2,7,0.05,11,241,0,
23,760912,3817743,,19.40891,-99.16083,809.0,1,5,0.03,1,364,0,
27,817291,4017148,,19.38468,-99.17708,1072.0,2,85,0.58,1,26,8,
32,828714,4344353,,19.34183,-99.15533,910.0,2,28,0.28,1,265,1,
35,865012,3850198,,19.43078,-99.17011,,2,31,0.22,11,364,0,
36,868843,3850198,,19.43068,-99.17007,1213.0,2,56,0.44,11,341,3,
37,868986,3850198,,19.4306,-99.17074,1213.0,2,25,0.17,11,346,2,
38,869063,3850198,,19.43052,-99.17003,,2,38,0.35,11,363,5,
40,898633,4796027,,19.42063,-99.16586,1824.0,3,56,0.39,3,333,1,
43,1001517,5507751,,19.3461,-99.15911,1949.0,2,82,0.59,3,262,7,
45,1013504,1664327,,19.34034,-99.18345,410.0,2,73,0.54,2,321,18,
46,1051636,22366411,,19.40592,-99.1691,991.0,2,30,0.21,1,365,0,
51,1170780,6409883,,19.39129,-99.1888,425.0,3,17,0.13,2,0,0,
57,1309198,7116734,,19.34356,-99.1286,,2,2,0.03,3,297,1,
58,1363110,6409883,,19.39165,-99.18885,425.0,3,26,0.19,2,0,0,
60,1403168,7569372,,19.40288,-99.17884,602.0,2,2,0.03,1,365,0,
68,1547284,5341352,,19.37845,-99.17221,1100.0,1,72,0.53,2,316,13,
70,1565220,2518152,,19.34735,-99.19016,2800.0,1,28,0.21,7,365,1,
72,1635595,8686853,,19.43149,-99.165543,1375.0,1,72,1.96,3,360,9,
73,1656382,796221,,19.41095,-99.18215,,1,0,,1,0,0,
75,1727725,2518152,,19.34923,-99.19307,2200.0,1,36,0.27,7,365,1,
76,1736063,2518152,,19.34723,-99.19396,,1,63,0.48,7,362,10,
87,1925256,2518152,,19.34943,-99.19427,2000.0,1,52,0.4,7,365,7,
89,3490114,17575648,,19.40924,-99.16619,,1,0,,1,0,0,
91,3536304,18260491,,19.35058,-99.19749,838.0,1,15,0.17,3,365,1,
95,3624106,18259367,,19.41239,-99.18398,850.0,1,29,0.24,4,365,3,
98,3685560,18744018,,19.44358,-99.21206,3161.0,2,0,,1,173,0,
101,67703,334451,,19.41152,-99.16857,2123.0,2,50,0.31,2,343,4,
102,70644,212109,,19.35448,-99.16217,1236.0,3,131,0.84,3,285,8,
103,131610,647454,,19.35416,-99.16488,,1,0,,3,0,0,
106,180808,36836,,19.4239,-99.1689,1777.0,3,54,0.35,1,359,5,
109,194937,899360,,19.41057,-99.1773,,1,77,0.48,6,0,4,
111,204887,998053,,19.4059,-99.17548,780.0,3,30,0.2,1,335,1,
114,247543,1297488,,19.43516,-99.13806,809.0,3,146,0.92,2,329,28,
119,281134,196253,,19.41108,-99.17634,,1,7,0.06,8,309,0,
121,291804,1511568,,19.36305,-99.15412,,2,0,,1,0,0,
122,298873,1539548,,19.43358,-99.14452,,3,119,0.77,1,0,0,
128,331030,1688597,,19.34549,-99.15872,1300.0,2,0,,2,363,0,
130,362583,1832239,,19.43165,-99.17132,1618.0,3,46,0.32,1,299,7,
133,395446,899360,,19.41068,-99.17732,,2,34,0.23,6,0,6,
134,409709,1595855,,19.42575,-99.16236,1517.0,3,5,0.03,2,365,0,
135,419110,2084312,,19.41017,-99.17886,667.0,3,49,0.52,1,88,0,
138,458808,2281290,,19.42675,-99.1613,988.0,1,139,1.25,24,270,41,
139,486913,2409917,,19.43898,-99.16142,1040.0,1,35,0.23,3,0,0,
144,2003918,10317668,,19.39877375952444,-99.17890175126874,1500.0,1,4,0.43,1,349,4,
145,2030859,790208,,19.40692,-99.18831,924.0,2,50,0.38,7,285,0,
148,2056622,10531228,,19.35585,-99.16315,,2,15,0.15,3,0,2,
150,2072354,16840050,,19.35358,-99.16948,800.0,3,63,0.47,2,351,2,
151,2075738,2339771,,19.41909,-99.16043,2990.0,3,108,0.81,1,298,18,
154,2094427,3675629,,19.43573,-99.18955,1500.0,3,87,0.69,5,308,1,
155,2112138,16840050,,19.35284,-99.1695,850.0,3,37,0.28,2,351,0,
156,2117709,4079778,,19.34219,-99.15952,748.0,3,9,0.07,2,356,0,
159,2178349,906106,,19.42914772033691,-99.15665435791016,950.0,2,35,0.26,1,311,8,
162,2267075,11576147,,19.43356817253434,-99.15863118836056,500.0,1,6,0.6,2,219,6,
165,2302615,11759686,,19.42911,-99.16582,2528.0,3,1,0.01,1,358,0,
168,2345760,11979276,,19.39969,-99.17173,,3,5,0.19,1,76,3,
171,2406485,9931809,,19.40103,-99.17618,450.0,2,44,0.34,1,361,0,
172,2419999,2872228,,19.43432,-99.14581,864.0,2,25,0.19,15,128,4,
173,2424204,12389380,,19.43794,-99.13644,2002.0,3,24,0.18,6,338,0,
178,2519535,5870021,,19.35418,-99.16338,1200.0,2,67,0.51,5,335,1,
183,2547576,12774111,,19.34706,-99.16568,,3,69,0.53,1,361,2,
184,2558376,50929609,,19.41875599395923,-99.16854557754895,2832.0,2,19,3.22,8,48,19,
185,2643099,13530256,,19.33753,-99.15454,,2,47,0.37,1,357,5,
188,2715327,13894824,,19.43341,-99.15124,1686.0,3,41,0.32,4,331,5,
198,3843070,19806027,,19.3439,-99.16784,910.0,3,25,0.2,1,340,0,
200,3848018,2653797,,19.41397,-99.17491,405.0,3,23,0.21,4,243,6,
202,3874727,20018764,,19.35528516433786,-99.16574358940125,2299.0,1,1,0.17,5,173,1,
203,3881748,17843455,,19.39664,-99.17516,891.0,2,134,1.32,1,67,16,
204,3898193,12389380,,19.43815,-99.13644,1415.0,3,41,0.33,6,351,5,
206,3916297,4028100,,19.41321,-99.15943,900.0,3,117,0.94,3,307,14,
207,3944872,20442452,,19.41961,-99.16729,1557.0,3,78,0.63,1,135,20,
213,4015726,2872228,,19.43432,-99.14581,1460.0,2,56,0.45,15,147,17,
215,4062881,18260491,,19.35059,-99.1978,462.0,1,68,0.59,3,365,17,
218,4084998,21188069,,19.40696,-99.16899,1850.0,2,2,0.95,1,320,2,
222,4103828,17222905,,19.34282,-99.2013,1099.0,3,1,0.75,1,363,1,
223,4118496,15219834,,19.43792,-99.19647,1748.0,2,79,0.63,23,285,25,
225,4142890,21491265,,19.43107,-99.14473,1080.0,3,102,1.51,1,353,12,
228,4197547,2337914,,19.4273,-99.16889,2831.0,2,11,0.1,6,356,0,
235,4285417,11488082,,19.43166,-99.16585,,2,12,2.18,1,0,12,
236,4286935,790208,,19.40755,-99.1864,1112.0,2,34,0.28,7,286,0,
239,4343260,22482905,,19.33744,-99.20311,,1,11,0.14,2,0,0,
240,4390555,3921562,,19.39628,-99.15343,404.0,3,4,0.05,1,363,0,
241,4391108,2828190,,19.4315,-99.20795,809.0,1,0,,2,89,0,
246,4457362,17468617,,19.335982165534283,-99.12379880851051,,2,25,0.21,15,360,4,
247,4469994,23169081,,19.40662,-99.17301,,1,0,,1,0,0,
249,4489287,23287902,,19.37819,-99.16773,1618.0,3,20,0.21,1,87,4,
250,4492814,20629876,,19.42489,-99.17724,2022.0,3,21,0.19,1,356,0,
251,4509191,19411159,,19.40338,-99.16555,600.0,2,1,0.04,3,89,0,
254,4550512,10993719,,19.349940446466295,-99.16570888980472,1500.0,2,77,0.63,1,40,0,
257,4602165,8015823,,19.40858,-99.16858,1092.0,3,4,0.04,1,40,0,
262,4720795,24385759,,19.421783447265625,-99.16834259033205,1112.0,3,0,,1,365,0,
266,4814757,12389380,,19.43815,-99.13644,3004.0,3,56,0.48,6,346,6,
267,4832713,24877480,,19.35098,-99.18427,750.0,3,1,0.01,3,365,0,
268,4833571,17796480,,19.40707,-99.17086,700.0,1,18,0.15,1,364,0,
269,4835517,24877480,,19.35285,-99.18361,750.0,1,16,0.17,3,365,0,
271,6144126,31775476,,19.41559,-99.17794,498.0,1,51,0.44,1,320,0,
273,6204678,29969396,,19.40602,-99.18098,,2,138,1.19,1,0,7,
279,2789086,14266395,,19.42793,-99.15546,,3,0,,1,0,0,
280,2794006,14291448,,19.37892,-99.1889,752.0,3,50,0.59,1,267,7,
281,2848002,5870021,,19.35445,-99.16251,1300.0,2,24,0.19,5,335,0,
282,2848113,5870021,,19.35472,-99.16258,,2,55,0.43,5,340,0,
284,2867671,14659220,,19.37748,-99.18156,,2,5,0.04,1,0,0,
287,2908957,2281290,,19.42536,-99.16043,2022.0,1,39,0.3,24,268,2,
289,2932923,10847035,,19.440629,-99.16809,,3,9,0.32,1,0,0,
290,2942919,14993631,,19.34682,-99.16616,807.0,3,120,1.44,1,344,18,
291,2943836,13709233,,19.36295,-99.15335,1011.0,3,54,0.42,2,61,0,
292,2956545,4148933,,19.38742,-99.16909,,1,0,,1,269,0,
294,2984948,15219834,,19.42962,-99.20321,1395.0,2,49,0.39,23,259,0,
303,3157656,2872228,,19.43432,-99.14581,1463.0,2,89,0.73,15,143,36,
306,3204960,16239923,,19.40561382443991,-99.16012365370987,600.0,3,31,1.13,1,316,10,
307,3240086,13894824,,19.43386,-99.14648,1897.0,3,67,0.6,4,179,5,
309,3293072,16636749,,19.43488,-99.15107,1782.0,3,140,1.15,4,139,9,
310,3293497,16639078,,19.4061,-99.16957,832.0,3,102,0.87,1,275,9,
312,3319324,16683840,,19.41037,-99.16214,700.0,3,45,0.36,1,175,4,
313,3386326,5286231,,19.39129,-99.17395,1699.0,3,46,0.51,1,330,0,
315,4835724,24877480,,19.3534,-99.18188,750.0,2,3,0.04,3,365,0,
316,4856659,24984324,,19.35445,-99.15053,1200.0,2,82,0.68,1,364,0,
317,4895630,25193900,,19.34794,-99.15955,2744.0,3,141,1.63,1,322,32,
321,4951061,23428032,,19.34772,-99.16157,2100.0,2,66,0.55,1,270,0,
323,4975402,12389380,,19.43815,-99.13644,1415.0,3,65,0.55,6,333,4,
329,5055869,2906174,,19.40708,-99.17031,1820.0,2,82,0.71,1,208,8,
336,5152399,14375258,,19.40885,-99.17599,316.0,2,17,0.14,1,356,0,
338,5173777,5870021,,19.35473,-99.16258,1200.0,2,71,0.59,5,339,0,
342,5191149,25026925,,19.418174119668592,-99.16532101458432,1707.0,2,69,0.58,1,285,14,
343,5193446,26125442,,19.39388656616211,-99.1675033569336,1250.0,1,16,0.14,1,360,2,
347,5229072,27058146,,19.345931078950983,-99.16106390022895,789.0,2,87,0.72,4,365,7,
352,5289079,25107399,,19.41156,-99.15786,393.0,2,31,0.27,1,83,0,
353,5298333,27058146,,19.34447,-99.16063,586.0,1,133,1.18,4,365,9,
355,5361263,11345577,,19.43801,-99.19121,1384.0,3,41,0.34,1,301,9,
356,5381625,27896130,,19.39507,-99.17451,2325.0,3,13,0.11,1,360,0,
358,5414029,24419870,,19.413349,-99.170555,550.0,2,145,1.73,1,157,23,
359,5423456,28129417,,19.39811,-99.1822,1009.0,3,84,0.7,1,346,7,
360,5488293,1886913,,19.40735,-99.17363,1605.0,1,23,0.2,10,315,1,
364,5558275,28814855,,19.41694,-99.17877,1820.0,1,136,1.16,3,118,8,
367,5581532,4715803,,19.41717,-99.16081,627.0,1,111,0.94,1,361,0,
368,5592595,28995965,,19.38688,-99.14789,,2,4,0.03,1,0,0,
371,5606567,2281290,,19.42517,-99.16041,1080.0,2,58,0.5,24,268,0,
374,6311568,32833650,,19.42818,-99.21038,2427.0,1,1,0.01,1,365,0,
381,6376112,15219834,,19.43451,-99.2049,,2,46,0.4,23,0,0,
382,6404543,33402865,,19.34815,-99.19589,594.0,2,36,0.35,2,270,0,
386,6475335,33828926,,19.39238,-99.19361,350.0,2,108,0.96,3,353,19,
390,6512041,34045895,,19.43405,-99.20873,1200.0,3,25,0.22,3,363,0,
391,6527571,12407066,,19.40916633605957,-99.17671966552734,1400.0,1,65,0.59,13,341,10,
397,6577987,34410444,,19.40272,-99.13746,500.0,2,16,3.64,2,174,16,
400,6654921,34831793,,19.40108,-99.17278,490.0,3,60,0.52,3,80,15,
401,6657150,34831793,,19.40173,-99.17174,630.0,3,76,0.65,3,82,23,
402,6661138,19201934,,19.42762,-99.17029,,2,17,0.15,1,0,0,
404,6687737,18259367,,19.4142,-99.18352,850.0,1,10,0.09,4,365,1,
407,6705120,29940140,,19.34152,-99.17035,236.0,3,20,0.18,5,238,9,
410,6759220,34045895,,19.43621,-99.20756,880.0,3,31,0.27,3,178,0,
411,6759506,34045895,,19.43488,-99.20777,990.0,3,11,0.1,3,178,0,
415,6808453,17468617,,19.33712,-99.12282,,2,2,0.02,15,179,0,
419,6853913,25416724,,19.33419,-99.17605,900.0,2,37,0.33,6,253,0,
422,6881128,232907,,19.38683,-99.167,809.0,3,2,0.05,1,363,0,
423,6887605,19539068,,19.41672,-99.17636,900.0,1,0,,1,358,0,
427,6914989,30541688,,19.41159,-99.17343,2279.0,1,30,0.26,3,263,4,
430,6938927,35406862,,19.39422,-99.17611,,1,1,0.04,17,365,0,
431,6970263,33080453,,19.33608,-99.17733,226.0,2,90,0.78,5,310,12,
432,6970368,35670079,,19.41694,-99.15983,583.0,2,113,0.99,1,309,26,
433,6994948,25845373,,19.39988,-99.16079,768.0,1,14,0.12,1,89,4,
434,7002882,29940140,,19.34219,-99.17149,230.0,3,13,0.11,5,149,0,
435,7009668,36723433,,19.36796,-99.1843,1746.0,2,38,0.33,1,348,3,
437,7025885,36829719,,19.41716,-99.15898,550.0,1,47,0.47,1,74,22,
438,7030492,36475564,,19.43071,-99.14293,,1,50,0.44,1,350,0,
439,7034452,11106737,,19.42846,-99.19295,1759.0,1,0,,1,365,0,
443,7072606,10109055,,19.40765,-99.16912,1415.0,1,0,,1,365,0,
444,7082903,37129302,,19.40004,-99.1769,1000.0,3,0,,1,363,0,
446,7133464,37363394,,19.407044755462977,-99.17111165821552,1944.0,2,53,0.53,1,361,6,
447,7143964,37411250,,19.42762,-99.15173,3000.0,1,4,0.04,2,271,0,
449,7150076,6121806,,19.3829,-99.16217,1990.0,1,78,1.7,2,166,2,
451,7178136,33678341,,19.40859,-99.17081,708.0,1,15,0.13,1,362,1,
454,8042171,42096621,,19.36274,-99.15571,,1,49,0.44,1,0,0,
455,8098118,1886913,,19.4115,-99.17612,2200.0,3,3,0.06,10,334,0,
456,8100204,30026600,,19.43725,-99.18178,907.0,1,92,0.81,14,365,9,
463,8172868,2518152,,19.34943,-99.19404,2300.0,1,38,0.34,7,270,1,
464,8185711,43180770,,19.43919,-99.15698,,1,0,,1,0,0,
465,8191119,43204127,,19.43267,-99.18925,667.0,3,0,,1,89,0,
468,8265817,15219834,,19.43002,-99.20259,1748.0,1,39,0.41,23,265,12,
469,8294134,43732014,,19.42917,-99.16349,,2,2,0.02,2,0,0,
472,5708831,29598501,,19.36556,-99.1875,586.0,2,54,0.72,1,59,0,
474,5730451,29713586,,19.44244,-99.20502,,1,68,0.6,3,0,0,
475,5738254,29757280,,19.35218,-99.15638,471.0,2,50,0.42,1,285,1,
476,5750174,6890179,,19.35172,-99.19159,1750.0,2,76,0.68,17,365,11,
477,5750208,6890179,,19.35373,-99.19185,1750.0,2,50,0.46,17,365,0,
479,5839163,1453242,,19.39387,-99.15242,390.0,2,18,0.16,1,88,3,
480,5881278,30541688,,19.41245,-99.17318,1800.0,1,127,1.1,3,266,53,
482,5905923,1291491,,19.40364,-99.18127,1395.0,3,62,0.54,2,294,6,
485,5969182,28190065,,19.4372,-99.15464,465.0,2,10,0.1,1,363,1,
488,6033665,2066466,,19.34814,-99.16289,1166.0,1,30,2.11,1,26,25,
491,6043473,12756313,,19.33778,-99.19683,500.0,3,21,0.18,7,362,0,
493,6045231,6890179,,19.35242,-99.19356,1750.0,2,143,1.22,17,365,12,
494,6052413,31406860,,19.37021,-99.17824,930.0,3,22,0.21,2,364,2,
500,7180374,18772371,,19.43766,-99.15123,829.0,3,105,0.92,1,60,17,
503,7196783,30722523,,19.41011,-99.17676,780.0,1,23,0.21,1,89,0,
504,7201720,30541688,,19.4114,-99.17308,2271.0,1,19,0.17,3,253,3,
508,7304776,38262203,,19.4069,-99.16359,428.0,1,33,0.3,6,83,28,
514,7380944,17468617,,19.33876,-99.12435,2086.0,2,2,0.03,15,364,0,
515,7388707,27554755,,19.41219,-99.17542,1400.0,2,103,0.92,1,58,12,
516,7397695,38759505,,19.42124,-99.1582,1994.0,3,51,0.46,2,302,0,
517,7397810,38759505,,19.42291,-99.15653,2588.0,2,5,0.05,2,118,0,
518,7422474,124647895,,19.39346,-99.16852,954.0,2,140,1.22,1,76,22,
521,7480645,39173299,,19.35409,-99.1566,350.0,2,144,1.26,2,365,4,
522,7481806,196253,,19.4096,-99.17659,3328.0,1,2,0.02,8,304,0,
530,7562346,39643994,,19.36149,-99.19071,,1,0,,1,0,0,
531,7563597,39653197,,19.4452349,-99.1727974,376.0,1,0,,1,348,0,
534,7615782,33437182,,19.40514,-99.17413,1336.0,3,100,0.91,1,180,0,
535,7618697,39945570,,19.4393,-99.13705,850.0,2,52,0.46,1,0,0,
536,7646656,19117000,,19.43969,-99.19221,1200.0,2,89,0.81,1,321,6,
540,7691699,8256660,,19.43727,-99.15854,1200.0,3,41,0.36,9,365,5,
542,7716364,18260491,,19.35084,-99.19742,477.0,1,58,0.66,3,365,4,
545,7734148,20985817,,19.38422,-99.17081,430.0,3,19,0.19,2,270,0,
546,7779952,17090887,,19.43112,-99.175,454.0,3,84,0.77,1,365,9,
548,7826622,30026600,,19.43576,-99.18038,1072.0,1,39,0.39,14,350,5,
549,7826731,30026600,,19.4369,-99.18237,,1,40,0.35,14,353,3,
550,7827000,30026600,,19.43549,-99.18178,1083.0,2,17,0.15,14,0,1,
552,7842592,9352363,,19.432640226302464,-99.21244149891037,1250.0,2,107,0.94,1,329,14,
554,7853589,41385096,,19.37126,-99.15728,329.0,1,0,,1,365,0,
556,7868766,15219834,,19.43812,-99.19738,1316.0,2,47,0.42,23,354,3,
557,7873617,26135251,,19.43592,-99.18721,2406.0,3,80,0.7,1,183,0,
560,7885447,41568979,,19.41101,-99.1671,850.0,1,36,0.32,2,365,5,
561,7886030,17468617,,19.34574,-99.13327,,2,1,0.18,15,3,1,
563,8329963,30026600,,19.43712,-99.18203,927.0,1,67,0.6,14,365,6,
565,8403200,15219834,,19.43629,-99.20622,1243.0,2,61,0.56,23,344,10,
567,8408560,29297584,,19.41872,-99.16102,527.0,3,69,0.61,2,165,0,
570,8470662,29713586,,19.44545,-99.20797,,1,52,0.46,3,0,0,
571,8473612,34957778,,19.3891632,-99.1539825,420.0,3,2,0.78,1,365,2,
572,8488697,44386141,,19.38751,-99.15304,350.0,1,0,,1,329,0,
573,8519696,44860149,,19.34157,-99.16034,,1,0,,1,0,0,
574,8524042,44882747,,19.33989,-99.18221,1500.0,2,0,,3,365,0,
575,8535152,42691101,,19.4318,-99.2045,647.0,3,117,1.05,2,270,11,
576,8538889,495361847,,19.4292599,-99.1759106,290.0,1,72,2.76,1,71,45,
579,8653718,45478271,,19.36765,-99.18746,546.0,3,26,0.24,5,329,2,
583,8714956,41322981,,19.42802,-99.17232,,2,24,0.91,1,325,13,
589,8799255,45478271,,19.36661,-99.18552,,3,24,0.24,5,241,0,
591,8827893,3057001,,19.41536,-99.15808,,3,96,0.86,1,347,11,
592,8842039,46305226,,19.42523,-99.1593,,3,98,0.9,1,293,12,
596,8881761,8256660,,19.43727,-99.15854,1200.0,3,31,0.29,9,324,1,
597,8888610,26005047,,19.42926,-99.19138,,3,28,0.28,1,282,3,
603,8965547,6890179,,19.3537,-99.19132,1750.0,2,50,0.58,17,365,4,
607,8985244,20742315,,19.39503,-99.17804,990.0,3,126,1.13,1,67,16,
608,8987064,28172354,,19.41826,-99.12407,350.0,1,0,,1,89,0,
609,8987632,14769515,,19.43764,-99.18951,1886.0,2,23,0.54,2,0,4,
611,9002495,1428436,,19.43153,-99.19222,2831.0,3,76,0.68,1,297,11,
612,9014159,3642012,,19.33727,-99.19522,515.0,2,36,0.33,7,90,11,
613,9026128,47116764,,19.41348,-99.17645,,2,111,1.0,1,351,0,
616,9046962,4526004,,19.42952,-99.16668,1406.0,1,72,2.4,1,81,33,
618,9064241,24805317,,19.45533,-99.15465,1300.0,3,52,0.47,2,301,8,
619,9067281,47293975,,19.36026,-99.15691,990.0,1,3,0.03,1,364,0,
620,9067580,42436804,,19.41818,-99.15478,2629.0,2,80,2.9,5,130,40,
623,9097526,6890179,,19.35393,-99.19287,1750.0,2,87,0.79,17,355,2,
626,9154539,47658363,,19.38188,-99.13997,440.0,1,1,0.07,1,363,0,
631,9291120,34150828,,19.4317,-99.16547,510.0,1,46,0.42,2,365,8,
632,9299749,48278754,,19.396,-99.15377,,2,3,0.03,1,0,0,
634,10135808,51986813,,19.44178,-99.20184,1279.0,1,136,1.42,1,180,15,
639,10175818,52248486,,19.37387,-99.17416,,1,0,,1,0,0,
640,10187908,52323138,,19.41287,-99.16183,2081.0,3,38,0.44,1,294,6,
641,10207453,52444181,,19.40503,-99.17414,,3,0,,1,0,0,
645,7887445,2163567,,19.42237,-99.15934,850.0,1,100,0.91,1,133,18,
646,7893377,17468617,,19.33904619972899,-99.12373933557144,3492.0,1,8,0.88,15,264,8,
647,7893702,17468617,,19.34585,-99.13362,,2,0,,15,3,0,
648,7894426,17468617,,19.34565017768838,-99.1323063894865,1704.0,2,5,0.55,15,4,5,
649,7894456,17468617,,19.34783,-99.13367,2550.0,2,12,1.49,15,258,12,
650,7894474,17468617,,19.33703,-99.12252,2065.0,2,3,0.36,15,266,3,
651,7894496,17468617,,19.33897004499774,-99.12392077084732,,2,3,0.36,15,269,3,
654,7894906,17468617,,19.34784230012586,-99.13194966496148,1057.0,2,2,0.11,15,4,0,
655,7894945,17468617,,19.34584,-99.13351,2508.0,2,9,0.34,15,4,2,
656,7897361,41638487,,19.44355,-99.20134,,2,25,0.24,1,0,0,
660,7915161,41735820,,19.4061,-99.17376,2000.0,3,20,0.18,1,110,0,
662,7936436,30026600,,19.43737,-99.1822,968.0,1,66,0.62,14,355,8,
663,7938063,39173299,,19.35334,-99.15575,350.0,2,113,0.99,2,177,1,
665,7967896,42043821,,19.34716,-99.14595,255.0,2,35,0.32,1,144,10,
666,7972176,2409917,,19.43913,-99.16136,780.0,2,15,0.15,3,0,0,
678,9372893,48631171,,19.42558,-99.15584,700.0,1,59,0.54,1,307,12,
679,9385667,8256660,,19.43764,-99.15896,1200.0,1,33,0.3,9,365,0,
680,9390448,13668942,,19.40006,-99.1719,390.0,3,2,0.02,1,361,0,
687,9436760,25506247,,19.43533,-99.18553,,2,1,0.06,1,0,0,
692,9477717,49124132,,19.44197,-99.2002,1328.0,2,138,1.25,2,225,51,
695,9507937,8256660,,19.43727,-99.15854,1200.0,3,25,0.23,9,330,0,
702,9595459,31038748,,19.36507,-99.16036,280.0,3,40,0.37,3,309,2,
705,9615553,1497087,,19.41231,-99.17461,829.0,1,30,0.27,12,353,16,
706,9626861,49794854,,19.43447,-99.15264,1850.0,3,19,0.18,1,364,1,
709,9679034,50006192,,19.435095239367556,-99.15250871175311,1415.0,2,38,0.34,1,331,9,
710,9715507,33507575,,19.43382,-99.16694,607.0,1,0,,1,365,0,
711,9716162,50002951,,19.43786,-99.19102,1858.0,2,62,0.58,1,365,7,
712,9729485,50147475,,19.41264,-99.17253,1450.0,1,129,1.18,6,342,2,
714,9747509,14798982,,19.41844,-99.15729,,3,53,0.9,1,0,20,
716,9759798,50332732,,19.34581,-99.16377,600.0,2,108,1.26,3,355,20,
718,9779523,10729129,,19.40353,-99.18225,,1,0,,1,154,0,
721,9787055,50446743,,19.45414,-99.14854,270.0,1,11,0.13,1,365,0,
725,9827620,49836026,,19.35174,-99.14996,506.0,3,51,0.5,5,323,2,
726,9842135,31038748,,19.36306,-99.15938,370.0,3,28,0.26,3,270,2,
728,9863719,45912862,,19.37404,-99.15892,1300.0,2,127,1.16,7,178,0,
729,9922788,51009479,,19.3543,-99.15686,1213.0,3,103,0.94,1,301,5,
732,9927831,51032284,,19.41958,-99.1502,1011.0,2,64,0.59,4,270,0,
735,9943867,29713586,,19.4439,-99.206,,1,19,0.17,3,0,0,
738,9960081,50166084,,19.41894,-99.15419,400.0,3,14,0.75,1,355,10,
752,10334162,29940140,,19.34116,-99.17069,230.0,3,26,0.24,5,51,3,
753,10336472,3642012,,19.33642,-99.19583,1171.0,2,57,0.54,7,87,15,
757,10357675,44184076,,19.42761,-99.1542,,3,3,0.04,1,0,0,
759,10361778,20180527,,19.35192,-99.15741,,3,0,,1,0,0,
761,10407188,53589424,,19.42686,-99.15904,,1,14,0.14,1,364,0,
763,10428249,33078207,,19.40743,-99.17045,911.0,2,132,1.23,8,202,33,
764,10430293,33078207,,19.40838074295956,-99.17037554890224,1359.0,2,124,1.16,8,295,32,
765,10441036,53784552,,19.37753,-99.18192,693.0,3,47,0.45,5,354,7,
770,10565746,54497443,,19.43667,-99.13862,,1,53,0.5,11,61,9,
772,10584796,29599791,,19.37272,-99.17059,849.0,2,53,1.07,2,357,16,
776,10659787,21383091,,19.39766,-99.17102,,3,30,0.28,1,0,6,
778,10686273,55207130,,19.42996,-99.17128,900.0,3,1,0.03,1,144,0,
781,10696454,37819217,,19.43275,-99.15425,550.0,2,33,0.38,1,210,0,
784,10727927,55447102,,19.40724,-99.13663,290.0,1,40,0.48,1,240,0,
786,10748229,48008881,,19.43001,-99.17073,,3,6,0.16,1,364,0,
787,10754507,11249089,,19.40825,-99.17076,1820.0,2,56,0.54,1,323,0,
790,10772712,54497443,,19.43667,-99.13862,2762.0,1,31,0.29,11,59,2,
792,10814150,55992295,,19.38812,-99.15495,,2,1,0.01,1,0,0,
793,10814260,55993346,,19.41764,-99.15774,,3,64,0.63,1,0,3,
794,10821911,20991334,,19.41398,-99.16714,590.0,1,41,0.49,2,61,0,
795,10823519,55998284,,19.43479,-99.16292,350.0,2,140,2.91,1,142,28,
796,10851308,45600381,,19.433805,-99.201553,2736.0,2,107,1.0,1,228,6,
797,10853428,55904442,,19.38725,-99.1544,,2,21,0.19,2,347,9,
798,10866099,33402865,,19.34562,-99.19598,594.0,2,31,0.29,2,270,0,
804,10905603,3016194,,19.425871,-99.174248,,2,130,1.23,1,302,5,
807,10910030,56547611,,19.35508,-99.15549,880.0,3,133,1.23,1,177,7,
808,10911504,56557166,,19.38236,-99.16859,,1,0,,2,0,0,
809,10922637,56616412,,19.41362,-99.17443,,2,0,,1,0,0,
810,10928822,56654115,,19.405747749265384,-99.18242721252128,1017.0,3,16,0.15,1,160,12,
812,10951830,4435007,,19.4132906,-99.174878,990.0,2,2,0.97,2,354,2,
813,10957089,3149134,,19.41382,-99.17969,1514.0,2,145,1.34,5,4,4,
818,11777100,62701948,,19.38605,-99.14618,,3,32,0.31,2,340,4,
819,11781435,204481938,,19.41015,-99.16007,700.0,1,16,0.15,1,344,2,
820,11790186,15694839,,19.41024,-99.1669,1500.0,2,23,1.15,1,277,12,
823,11818906,62951625,,19.41,-99.17388,800.0,1,10,0.09,1,272,0,
826,11826745,63002135,,19.41154,-99.17721,3492.0,3,113,1.06,1,199,23,
827,11827100,63004593,,19.41649,-99.16428,1335.0,1,96,0.9,1,67,5,
830,11872559,33604448,,19.43205,-99.17269,1799.0,1,12,0.11,8,33,3,
832,11893555,407096,,19.33866,-99.13336,500.0,2,20,0.19,1,360,0,
