,Unnamed: 0,id,scrape_id,host_id,host_listings_count,latitude,longitude,accommodates,bathrooms,bedrooms,beds,minimum_nights,maximum_nights,availability_30,availability_60,availability_90,availability_365,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms,reviews_per_month
4458,4458,33428847.0,20200000000000.0,251829873,2,41.15275,-8.60838,6,2.0,3.0,4.0,3,31,23,53,83,283,118,28,0,4.64,4.8,4.8,4.72,4.68,4.69,4.67,1,1,0,0,1.72
4460,4460,33440003.0,20200000000000.0,242741951,3,41.13519,-8.61077,4,1.0,2.0,2.0,3,180,19,41,65,241,149,53,2,4.91,4.91,4.95,4.91,4.97,4.88,4.9,3,3,0,0,3.45
4464,4464,33451738.0,20200000000000.0,252012606,1,41.14181,-8.61716,3,1.0,2.0,2.0,2,14,21,51,81,98,56,15,0,4.61,4.77,4.75,4.79,4.82,4.96,4.66,1,1,0,0,0.81
4466,4466,33467914.0,20200000000000.0,251985368,1,41.1445,-8.61016,4,1.0,1.0,2.0,2,1125,25,55,85,346,24,12,0,4.96,5.0,4.96,4.96,4.96,4.96,4.92,1,1,0,0,0.36
4468,4468,33509405.0,20200000000000.0,24111791,8,41.15135,-8.61855,4,1.0,1.0,2.0,1,31,21,51,81,356,71,22,1,4.52,4.58,4.46,4.7,4.61,4.79,4.56,8,8,0,0,1.03
4469,4469,33513098.0,20200000000000.0,130612073,6,41.14583,-8.61258,4,2.0,2.0,3.0,2,365,23,53,83,332,206,43,1,4.71,4.83,4.73,4.92,4.96,4.87,4.72,5,5,0,0,3.21
4473,4473,33569854.0,20200000000000.0,11719083,32,41.14716,-8.61305,2,1.0,1.0,1.0,1,1125,21,21,49,308,62,2,0,4.73,4.9,4.9,4.69,4.73,4.98,4.68,4,4,0,0,0.89
4481,4481,33658260.0,20200000000000.0,194915090,7,41.14852142,-8.603973389,2,1.0,1.0,1.0,2,1125,29,59,89,106,88,18,0,4.88,4.94,4.88,4.98,4.99,4.93,4.8,7,7,0,0,1.28
4484,4484,33690370.0,20200000000000.0,91583433,2,41.14767,-8.61756,2,1.0,0.0,1.0,2,60,24,54,84,174,130,30,1,4.84,4.91,4.83,4.86,4.89,4.88,4.76,2,2,0,0,1.9
4487,4487,33701629.0,20200000000000.0,254030787,1,41.15538,-8.61906,5,1.0,2.0,3.0,3,1125,0,0,0,183,133,29,0,4.62,4.65,4.57,4.79,4.65,4.71,4.53,1,1,0,0,1.92
4492,4492,33731785.0,20200000000000.0,254271314,1,41.1531,-8.6005,4,1.0,1.0,2.0,2,365,22,52,82,357,176,40,1,4.74,4.85,4.69,4.64,4.75,4.66,4.7,1,1,0,0,2.56
4493,4493,33732492.0,20200000000000.0,254274730,2,41.14014,-8.61594,2,1.0,1.0,1.0,2,365,19,32,62,321,120,21,2,4.76,4.81,4.73,4.7,4.86,4.95,4.68,2,2,0,0,1.79
4498,4498,33747576.0,20200000000000.0,54040900,18,41.14351,-8.61303,3,1.0,1.0,1.0,2,1125,27,57,87,362,181,32,1,4.77,4.84,4.84,4.93,4.82,4.98,4.73,18,18,0,0,2.63
4506,4506,33792936.0,20200000000000.0,254978504,1,41.15538,-8.61906,4,2.0,1.0,1.0,3,1125,30,60,90,256,102,22,0,4.71,4.79,4.55,4.75,4.71,4.75,4.59,1,1,0,0,1.49
4508,4508,33797137.0,20200000000000.0,1675750,21,41.14539,-8.61197,6,2.0,2.0,2.0,1,365,16,41,71,330,30,2,0,4.77,4.93,4.9,4.57,4.83,5.0,4.6,21,21,0,0,0.44
4509,4509,33797164.0,20200000000000.0,1675750,21,41.140217,-8.614984,4,1.0,1.0,2.0,1,365,13,38,61,319,129,39,1,4.83,4.93,4.87,4.93,4.9,4.96,4.87,21,21,0,0,3.1
4512,4512,33801811.0,20200000000000.0,113282651,6,41.14758682,-8.614674568,3,1.0,1.0,1.0,1,1125,26,56,86,266,176,39,1,4.63,4.63,4.74,4.57,4.66,4.95,4.59,6,6,0,0,2.6
4513,4513,33801840.0,20200000000000.0,113282651,6,41.14758682,-8.614674568,5,1.0,2.0,4.0,1,1125,20,50,80,260,156,42,2,4.42,4.41,4.52,4.62,4.62,4.88,4.44,6,6,0,0,2.27
4525,4525,33835344.0,20200000000000.0,255467957,4,41.14804,-8.5913,4,1.0,1.0,2.0,2,1125,24,54,84,174,168,48,0,4.93,4.95,4.79,4.93,4.9,4.62,4.89,4,4,0,0,2.44
4526,4526,33847303.0,20200000000000.0,78792826,1,41.144745,-8.61199,2,,1.0,,2,1125,0,0,0,0,143,0,0,4.95,4.92,4.98,4.94,4.95,4.98,4.88,1,1,0,0,2.17
4545,4545,33939345.0,20200000000000.0,256282616,1,41.16252,-8.60989,4,2.0,2.0,3.0,3,90,30,60,90,90,99,26,0,4.87,4.88,4.97,4.9,4.92,4.56,4.79,1,1,0,0,1.45
4547,4547,33957042.0,20200000000000.0,30068812,2,41.15728,-8.61786,2,1.0,1.0,1.0,1,1125,26,54,84,359,57,0,0,4.82,4.88,4.88,4.89,4.88,4.74,4.88,2,0,2,0,0.84
4551,4551,33967835.0,20200000000000.0,34445965,5,41.13329,-8.6226,4,1.0,2.0,4.0,2,1125,0,0,0,0,3,0,0,5.0,5.0,5.0,5.0,5.0,4.67,5.0,5,5,0,0,0.05
4552,4552,33968425.0,20200000000000.0,34445965,5,41.1352,-8.62147,2,1.0,2.0,3.0,2,1125,0,0,0,0,0,0,0,,,,,,,,5,5,0,0,
4553,4553,33972181.0,20200000000000.0,117589393,1,41.13479,-8.60849,2,,1.0,,3,15,0,0,0,0,39,1,0,5.0,5.0,5.0,4.97,5.0,4.97,4.97,1,1,0,0,0.59
4563,4563,34007440.0,20200000000000.0,90781628,10,41.14965,-8.60594,4,1.0,1.0,3.0,1,18,10,38,68,68,61,8,0,4.79,4.92,4.8,4.95,4.95,4.9,4.67,10,10,0,0,0.9
4565,4565,34022110.0,20200000000000.0,256891698,1,41.15722,-8.61714,4,2.0,2.0,2.0,3,1125,12,42,72,312,107,30,0,4.77,4.9,4.85,4.85,4.88,4.68,4.75,1,1,0,0,1.57
4566,4566,34039895.0,20200000000000.0,198505038,6,41.14893,-8.61285,2,1.0,1.0,2.0,2,31,26,56,86,361,24,3,0,4.67,4.75,4.75,4.96,4.96,4.92,4.75,6,6,0,0,0.35
4567,4567,34040076.0,20200000000000.0,101876710,2,41.147129,-8.601684,3,1.0,0.0,2.0,2,90,4,34,57,139,159,47,1,4.97,4.98,4.97,4.98,4.98,4.92,4.93,1,1,0,0,2.33
4572,4572,34087653.0,20200000000000.0,198505038,6,41.15021,-8.6113,2,1.0,1.0,1.0,2,31,28,58,88,178,38,4,0,4.66,4.76,4.79,4.89,4.82,4.97,4.58,6,6,0,0,0.58
4577,4577,34118339.0,20200000000000.0,32772523,2,41.14165,-8.61545,4,1.0,1.0,2.0,3,31,0,0,1,141,83,18,0,4.95,4.95,4.96,4.9,4.99,4.93,4.94,1,1,0,0,1.22
4589,4589,34151985.0,20200000000000.0,124699338,13,41.15104,-8.61739,2,1.0,1.0,1.0,3,1125,20,29,46,321,106,41,1,4.88,4.92,4.92,4.9,4.92,4.94,4.85,11,11,0,0,1.61
4595,4595,34201577.0,20200000000000.0,258214184,1,41.15156,-8.60664,6,,2.0,,1,1125,0,0,0,0,72,0,0,4.85,4.93,4.89,4.82,4.67,4.99,4.83,1,1,0,0,1.05
4600,4600,34277038.0,20200000000000.0,146581775,25,41.14777,-8.60293,4,1.0,3.0,3.0,1,365,20,47,73,326,14,0,0,4.86,4.93,4.86,4.79,5.0,4.93,4.93,25,25,0,0,0.23
4603,4603,34311419.0,20200000000000.0,220538010,2,41.14847,-8.60428,5,,2.0,,2,1125,0,0,0,0,30,0,0,4.7,4.8,4.87,4.87,4.87,4.93,4.83,2,2,0,0,0.44
4604,4604,34312230.0,20200000000000.0,220538010,2,41.14809,-8.60488,5,,2.0,,2,1125,0,0,0,0,79,2,0,4.8,4.77,4.86,4.99,4.86,4.87,4.78,2,2,0,0,1.16
4614,4614,34396116.0,20200000000000.0,259475269,2,41.15904999,-8.606267929,4,1.0,1.0,2.0,3,31,15,31,59,270,86,12,1,4.98,4.92,4.97,4.93,4.95,4.74,4.92,1,1,0,0,1.27
4615,4615,34396815.0,20200000000000.0,448075913,2,41.14755,-8.60211,4,1.0,2.0,2.0,2,30,16,46,76,351,119,35,0,4.9,4.87,4.97,4.89,4.97,4.91,4.79,1,1,0,0,1.77
4616,4616,34403030.0,20200000000000.0,174933982,2,41.15093,-8.60261,4,1.0,1.0,1.0,2,60,23,53,83,358,53,26,0,4.85,4.94,4.91,4.89,4.94,4.91,4.81,2,2,0,0,0.79
4618,4618,34413895.0,20200000000000.0,205439415,4,41.1642,-8.58273,2,1.0,1.0,1.0,2,360,0,0,0,198,13,3,0,4.69,4.85,4.92,4.85,4.92,4.77,4.62,4,4,0,0,0.2
