,id,host_id,neighbourhood_group,latitude,longitude,price,minimum_nights,number_of_reviews,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
0,499553,1297488.0,,19.43621,-99.13874,4985.0,3.0,26.0,0.17,2.0,117,1.0,
1,501037,1364145.0,,19.41578,-99.17425,1150.0,5.0,134.0,0.89,2.0,232,23.0,
2,517503,2547499.0,,19.43784,,550.0,1.0,,3.43,1.0,339,52.0,
3,527473,158585.0,,19.41887,-99.17333,3654.0,1.0,,2.35,1.0,216,32.0,
4,544105,2674950.0,,19.44289207458496,-99.20138549804688,1007.0,2.0,67.0,0.74,1.0,173,9.0,
5,567176,2336127.0,,19.45595,-99.15944,310.0,7.0,28.0,0.24,1.0,362,0.0,
6,571166,196253.0,,19.41346,-99.1775,3328.0,1.0,1.0,0.01,8.0,165,0.0,
7,583039,2872228.0,,19.43374,-99.14616,1290.0,2.0,118.0,0.8,15.0,251,24.0,
8,607833,1849414.0,,19.48321,-99.11241,404.0,3.0,6.0,0.04,1.0,87,0.0,
9,609012,2944126.0,,19.43221,-99.15708,,4.0,22.0,0.15,1.0,181,0.0,
10,609594,2223274.0,,,-99.11365,910.0,21.0,14.0,0.12,1.0,326,2.0,
11,613181,3040937.0,,19.43826,-99.1366,999.0,3.0,,1.53,1.0,135,25.0,
12,640803,3200155.0,,19.35106,-99.19789,6633.0,4.0,22.0,0.15,2.0,240,0.0,
13,642725,3213044.0,,19.40809,-99.18109,,2.0,0.0,,1.0,0,0.0,
14,642797,3151538.0,,19.41499,-99.18215,11824.0,5.0,102.0,0.7,1.0,355,2.0,
15,654106,3289927.0,,19.44333,-99.18497,358.0,5.0,1.0,0.01,1.0,359,0.0,
16,691019,3531879.0,,19.43422,-99.145658,1300.0,21.0,,1.79,3.0,350,2.0,
17,696031,3531879.0,,19.44226,-99.18406,1130.0,20.0,150.0,1.03,3.0,356,3.0,
18,696037,3531879.0,,19.4418,-99.18402,1600.0,,39.0,0.26,3.0,241,0.0,
19,704779,2872228.0,,19.43103,-99.14661,865.0,2.0,27.0,0.2,15.0,116,8.0,
20,728372,3777702.0,,19.44222,-99.14461,3438.0,1.0,153.0,1.03,6.0,339,20.0,
21,737328,3850198.0,,19.43059,-99.17073,,2.0,25.0,0.17,11.0,365,1.0,
22,741557,3850198.0,,19.43059,-99.17073,1415.0,2.0,7.0,0.05,11.0,241,0.0,
23,760912,3817743.0,,19.40891,-99.16083,809.0,1.0,5.0,0.03,1.0,364,0.0,
24,783080,1767559.0,,19.33009,-99.21418,1011.0,4.0,4.0,0.03,3.0,364,0.0,
25,783480,4129056.0,,19.35379,,500.0,2.0,36.0,0.28,2.0,329,2.0,
26,796477,4195771.0,,19.41824,-99.1756,607.0,5.0,147.0,1.2,1.0,361,0.0,
27,817291,4017148.0,,19.38468,-99.17708,1072.0,2.0,85.0,0.58,1.0,26,8.0,
28,822005,4316391.0,,19.40243,-99.17828,1391.0,4.0,55.0,0.4,1.0,319,0.0,
29,824016,4326326.0,,19.40915,-99.17321,900.0,30.0,45.0,0.32,6.0,330,0.0,
30,826691,4326326.0,,19.40915,-99.17321,850.0,,18.0,0.13,6.0,271,0.0,
31,826760,4326326.0,,19.40915,-99.17321,971.0,4.0,16.0,0.11,6.0,241,0.0,
32,828714,4344353.0,,19.34183,-99.15533,910.0,2.0,28.0,0.28,1.0,265,1.0,
33,832805,3777702.0,,19.44262,-99.14566,,1.0,153.0,1.05,6.0,364,15.0,
34,858277,3200155.0,,19.41319,-99.1758,3842.0,2.0,136.0,0.93,2.0,302,0.0,
35,865012,3850198.0,,19.43078,-99.17011,,2.0,31.0,0.22,11.0,364,0.0,
36,868843,3850198.0,,19.43068,-99.17007,1213.0,2.0,56.0,0.44,11.0,341,3.0,
37,868986,3850198.0,,19.4306,-99.17074,1213.0,2.0,25.0,0.17,11.0,346,2.0,
38,869063,3850198.0,,19.43052,-99.17003,,2.0,38.0,0.35,11.0,363,5.0,
39,883511,3777702.0,,19.44207,-99.14797,3438.0,1.0,,1.91,6.0,340,17.0,
40,898633,4796027.0,,19.42063,-99.16586,1824.0,3.0,56.0,0.39,3.0,333,1.0,
41,913084,4647293.0,,19.43956,-99.17263,993.0,2.0,167.0,1.18,1.0,355,12.0,
42,939721,4821807.0,,19.42288,-99.15488,1684.0,3.0,,3.78,3.0,90,26.0,
43,1001517,5507751.0,,19.3461,-99.15911,1949.0,2.0,82.0,0.59,3.0,262,7.0,
44,1011428,5307709.0,,19.34406,-99.19413,7583.0,7.0,24.0,0.17,1.0,358,0.0,
45,1013504,1664327.0,,19.34034,-99.18345,410.0,2.0,73.0,0.54,2.0,321,18.0,
46,1051636,22366411.0,,19.40592,-99.1691,991.0,2.0,30.0,0.21,1.0,365,0.0,
47,1066945,5870021.0,,19.35445,-99.16251,1200.0,2.0,153.0,1.13,5.0,311,1.0,
48,1087636,5975456.0,,,-99.18356,526.0,1.0,51.0,0.42,1.0,360,7.0,
49,1164876,212109.0,,19.35164,-99.15289,4954.0,10.0,6.0,0.04,3.0,173,0.0,
50,1167552,6393641.0,,19.41317,-99.15735,708.0,3.0,155.0,1.1,1.0,27,11.0,
51,1170780,6409883.0,,19.39129,-99.1888,425.0,3.0,17.0,0.13,2.0,0,0.0,
52,1187817,4326326.0,,19.40915,-99.17321,900.0,,48.0,0.34,6.0,151,0.0,
53,1211383,212109.0,,19.355,-99.16181,,5.0,20.0,0.15,3.0,0,0.0,
54,1283294,5755202.0,,19.42801,-99.16467,1439.0,3.0,174.0,1.3,36.0,84,16.0,
55,1286695,6998716.0,,19.43514,-99.18361,1228.0,8.0,34.0,0.34,1.0,270,4.0,
56,1288566,540705.0,,19.43179,-99.19426,3620.0,1.0,187.0,1.75,2.0,309,50.0,
57,1309198,7116734.0,,19.34356,-99.1286,,2.0,2.0,0.03,3.0,297,1.0,
58,1363110,6409883.0,,19.39165,-99.18885,425.0,3.0,26.0,0.19,2.0,0,0.0,
59,1378164,2492211.0,,19.39829,-99.13817,,30.0,36.0,0.47,1.0,87,0.0,
60,1403168,7569372.0,,19.40288,-99.17884,602.0,2.0,2.0,0.03,1.0,365,0.0,
61,1403218,3777702.0,,19.44324,-99.14649,3438.0,1.0,162.0,1.19,6.0,351,2.0,
62,1404363,5341352.0,,19.38015,-99.17402,1087.0,4.0,136.0,0.98,2.0,260,9.0,
63,1411454,7609684.0,,19.41701,-99.1658,1530.0,3.0,,2.57,4.0,118,20.0,
64,1441434,7740056.0,,19.427968978881836,-99.16129302978516,10000.0,2.0,,1.67,4.0,169,11.0,
65,1462549,7838265.0,,19.42833,-99.17634,1103.0,4.0,118.0,0.86,8.0,173,19.0,
66,1476127,7900007.0,,19.38021,-99.16878,,1.0,,2.09,2.0,355,50.0,
67,1483664,6373011.0,,19.35796,-99.12219,,30.0,3.0,0.04,2.0,0,0.0,
68,1547284,5341352.0,,19.37845,-99.17221,1100.0,1.0,72.0,0.53,2.0,316,13.0,
69,1555819,8282570.0,,19.41709,-99.16603,1485.0,3.0,,2.59,3.0,129,22.0,
70,1565220,2518152.0,,19.34735,-99.19016,2800.0,1.0,28.0,0.21,7.0,365,1.0,
71,1627630,8282570.0,,19.41501,-99.16565,1530.0,3.0,,2.55,3.0,108,22.0,
72,1635595,8686853.0,,19.43149,-99.165543,1375.0,1.0,72.0,1.96,3.0,360,9.0,
73,1656382,796221.0,,19.41095,-99.18215,,1.0,0.0,,1.0,0,0.0,
74,1676923,18979393.0,,19.41919,-99.15894,2083.0,1.0,,2.86,1.0,314,50.0,
75,1727725,2518152.0,,19.34923,-99.19307,2200.0,1.0,36.0,0.27,7.0,365,1.0,
76,1736063,2518152.0,,19.34723,-99.19396,,1.0,63.0,0.48,7.0,362,10.0,
77,1768385,1004821.0,,19.43432,-99.14581,1193.0,2.0,,3.09,9.0,153,51.0,
78,1798108,1595855.0,,19.41638,-99.16868,1600.0,4.0,10.0,0.07,2.0,6,2.0,
79,1826212,9556116.0,,19.38089,-99.17245,1000.0,5.0,96.0,0.72,1.0,331,1.0,
80,1850394,9664207.0,,19.43122,-99.15562,2770.0,2.0,,2.38,16.0,294,3.0,
81,1869809,8793173.0,,19.36823,-99.18607,,15.0,3.0,0.07,1.0,302,0.0,
82,1877286,5755202.0,,19.42804,-99.16463,1459.0,2.0,124.0,0.93,36.0,85,14.0,
83,1919273,9949877.0,,19.42048,-99.16697,450.0,20.0,88.0,0.68,2.0,55,1.0,
84,1919310,9949877.0,,19.42242,-99.16823,350.0,15.0,145.0,1.08,2.0,40,0.0,
85,1919438,3494399.0,,19.42048,-99.15678,2692.0,4.0,,2.2,1.0,248,30.0,
86,1920070,9953466.0,,,-99.17044,,1.0,3.0,0.03,1.0,0,0.0,
87,1925256,2518152.0,,19.34943,-99.19427,2000.0,1.0,52.0,0.4,7.0,365,7.0,
88,3479520,17527001.0,,19.35263,-99.16245,670.0,4.0,22.0,0.17,4.0,135,7.0,
89,3490114,17575648.0,,19.40924,-99.16619,,1.0,0.0,,1.0,0,0.0,
90,3506037,17650235.0,,,-99.15624,600.0,1.0,1.0,0.04,2.0,365,0.0,
91,3536304,18260491.0,,19.35058,-99.19749,838.0,1.0,15.0,0.17,3.0,365,1.0,
92,3577110,18015070.0,,19.41232,-99.16073,829.0,4.0,,1.79,14.0,43,33.0,
93,3595167,18112590.0,,19.43211,-99.16912,503.0,1.0,,3.68,1.0,352,53.0,
94,3602334,18149939.0,,19.43293,-99.21078,850.0,7.0,35.0,0.29,1.0,212,0.0,
95,3624106,18259367.0,,19.41239,-99.18398,850.0,1.0,29.0,0.24,4.0,365,3.0,
96,3635953,18334496.0,,19.43215,-99.18851,1871.0,1.0,,5.03,5.0,79,33.0,
97,3645689,17429596.0,,19.36898,,880.0,3.0,1.0,0.01,2.0,118,0.0,
98,3685560,18744018.0,,19.44358,-99.21206,3161.0,2.0,0.0,,1.0,173,0.0,
99,35797,153786.0,,19.38283,,4044.0,1.0,0.0,,1.0,363,0.0,
100,44616,196253.0,,19.41162,-99.17794,18000.0,1.0,64.0,0.4,8.0,357,0.0,
101,67703,334451.0,,19.41152,-99.16857,2123.0,2.0,50.0,0.31,2.0,343,4.0,
102,70644,212109.0,,19.35448,-99.16217,1236.0,3.0,131.0,0.84,3.0,285,8.0,
103,131610,647454.0,,19.35416,-99.16488,,1.0,0.0,,3.0,0,0.0,
104,165772,790208.0,,19.40826,-99.18659,4056.0,2.0,,2.25,7.0,218,36.0,
105,171109,816295.0,,19.39675,-99.17581,340.0,4.0,111.0,0.85,2.0,302,8.0,
106,180808,36836.0,,19.4239,-99.1689,1777.0,3.0,54.0,0.35,1.0,359,5.0,
107,187030,899360.0,,19.41057,-99.1773,,4.0,104.0,0.65,6.0,0,0.0,
108,187745,899360.0,,19.41057,-99.1773,,14.0,24.0,0.18,6.0,0,0.0,
109,194937,899360.0,,19.41057,-99.1773,,1.0,77.0,0.48,6.0,0,4.0,
110,198778,970609.0,,19.41554,-99.17927,800.0,2.0,203.0,1.25,2.0,295,11.0,
111,204887,998053.0,,19.4059,-99.17548,780.0,3.0,30.0,0.2,1.0,335,1.0,
112,245507,1288063.0,,19.4236,-99.16979,1442.0,1.0,,2.4,2.0,363,29.0,
113,246057,1288063.0,,19.42335,-99.16963,1297.0,1.0,,1.84,2.0,361,24.0,
114,247543,1297488.0,,19.43516,-99.13806,809.0,3.0,146.0,0.92,2.0,329,28.0,
115,256555,790208.0,,19.40663,-99.18653,4044.0,2.0,,2.03,7.0,219,2.0,
116,261897,1373924.0,,19.41877,-99.17199,1233.0,5.0,,2.24,1.0,58,0.0,
117,271048,1417206.0,,19.42485,-99.17797,800.0,5.0,13.0,0.08,1.0,262,0.0,
118,276504,1444589.0,,19.38061,-99.12729,,7.0,0.0,,1.0,0,0.0,
119,281134,196253.0,,19.41108,-99.17634,,1.0,7.0,0.06,8.0,309,0.0,
120,287940,1497087.0,,19.41236,-99.17533,768.0,1.0,,3.13,12.0,344,23.0,
121,291804,1511568.0,,19.36305,-99.15412,,2.0,0.0,,1.0,0,0.0,
122,298873,1539548.0,,19.43358,-99.14452,,3.0,119.0,0.77,1.0,0,0.0,
123,323030,970609.0,,19.41368,-99.17907,804.0,2.0,,1.36,2.0,315,16.0,
124,325812,1666388.0,,19.43319,-99.14665,,4.0,106.0,0.8,1.0,0,0.0,
125,326296,1664327.0,,19.34034,-99.18345,506.0,2.0,,1.6,2.0,140,17.0,
126,326475,1670032.0,,19.41444,-99.15734,790.0,2.0,160.0,1.36,2.0,63,23.0,
127,329776,1683373.0,,,-99.17757,,3.0,17.0,0.19,5.0,0,0.0,
128,331030,1688597.0,,19.34549,-99.15872,1300.0,2.0,0.0,,2.0,363,0.0,
129,350079,1773936.0,,19.40639,-99.16686,,5.0,0.0,,1.0,0,0.0,
